Stadium,T,E,Hu,P
COL,76.2,5190,36,24.9
AZ,79.1,1086,23,29.8
ATL,79.7,1001,70,30.3
KC,79.3,856,78,30
TB,72,15,72,30.1
TEX,74,545,64,29.9
MIL,72.2,597,77,30
MIN,72.1,815,72,30.2
CIN,77.6,535,77,30.2
PHI,74.9,20,74,30
DET,69.8,600,72,30.1
MIA,73,10,73,30.1
PIT,73,780,75,30
SEA,65.2,10,68,29.9
NYM,71.4,10,74,30
WSH,76.5,35,67,29.8
LAA,73.5,151,60,30
BAL,75.8,33,68,30.3
CWS,70.6,595,76,30.1
STL,78.6,460,67,30
OAK,65.9,3,71,29.9
HOU,73,45,74,29.9
LAD,70.6,515,60,30
SD,68.2,23,63,30
TOR,68.8,270,70,29.9
SF,61.9,0,75,29.9
CHC,67.8,595,76,30.1
CLE,70,653,70,29.9
BOS,66.5,21,70,29.9
NYY,70.3,55,74,30
